City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Katima Mulilo,NA,-17.5,24.2667,75.92,41,99,3.15,overcast clouds
80,Saint Pete Beach,US,27.7253,-82.7412,80.65,69,3,1.01,clear sky
81,Labuhan,ID,-6.8844,112.2051,81.5,75,100,6.55,overcast clouds
82,Moose Factory,CA,51.2585,-80.6094,32.0,100,90,4.61,light snow
83,Esperance,AU,-33.8667,121.9,57.04,68,73,13.85,broken clouds
84,Cabo San Lucas,MX,22.8909,-109.9124,86.61,71,1,5.99,clear sky
85,Katsuura,JP,35.1333,140.3,55.18,91,100,19.06,light rain
86,Chapais,CA,49.7834,-74.8492,38.98,89,100,4.09,overcast clouds
87,Kavieng,PG,-2.5744,150.7967,82.06,77,100,8.32,moderate rain
88,Varhaug,NO,58.6147,5.6457,42.89,65,99,23.29,overcast clouds
89,Ulagan,RU,50.6321,87.9563,29.32,56,67,3.0,broken clouds
90,Alice Springs,AU,-23.7,133.8833,81.95,18,0,10.36,clear sky
91,Lebu,CL,-37.6167,-73.65,49.98,68,1,17.98,clear sky
92,Constitucion,CL,-35.3333,-72.4167,52.18,83,100,15.68,overcast clouds
93,Touros,BR,-5.1989,-35.4608,81.5,79,99,9.37,overcast clouds
94,Sisimiut,GL,66.9395,-53.6735,26.53,85,41,11.83,scattered clouds
95,Sitka,US,57.0531,-135.33,49.89,66,90,9.22,light rain
96,Chambishi,ZM,-12.6325,28.0537,63.99,66,49,4.59,scattered clouds
97,Vrangel,RU,42.7297,133.0839,43.72,50,8,6.24,clear sky
98,Nome,US,64.5011,-165.4064,34.16,80,90,8.05,overcast clouds
99,Puerto Ayora,EC,-0.7393,-90.3518,69.78,83,59,8.37,broken clouds
100,Charqueadas,BR,-29.9547,-51.6253,69.6,84,21,5.1,few clouds
101,Udachnyy,RU,66.4167,112.4,18.99,94,97,2.06,overcast clouds
102,Ribeira Grande,PT,38.5167,-28.7,69.06,71,100,12.26,overcast clouds
103,Saskylakh,RU,71.9167,114.0833,0.14,99,97,3.36,overcast clouds
104,Pierre,US,44.3683,-100.351,46.85,71,1,5.99,clear sky
105,Upernavik,GL,72.7868,-56.1549,20.77,93,92,8.12,light snow
106,Itigi,TZ,-5.7,34.4833,67.33,61,24,8.43,few clouds
107,Saint-Philippe,RE,-21.3585,55.7679,71.15,77,10,9.31,clear sky
108,Yerofey Pavlovich,RU,53.9667,121.9667,33.03,69,64,2.89,broken clouds
109,Darhan,MN,49.4867,105.9228,33.13,55,0,6.67,clear sky
110,Port Alfred,ZA,-33.5906,26.891,64.72,86,100,8.97,overcast clouds
111,Caidian,CN,30.5833,114.0333,56.14,73,100,5.32,light rain
112,Clarence Town,AU,-32.5833,151.7833,77.05,54,18,2.89,few clouds
113,Liwale,TZ,-9.7667,37.9333,69.44,85,75,3.04,broken clouds
114,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,40,19.57,scattered clouds
115,Narsaq,GL,60.9167,-46.05,32.22,40,100,4.61,overcast clouds
116,Tiksi,RU,71.6872,128.8694,8.96,94,100,10.74,light snow
117,Vitoria,BR,-20.3194,-40.3378,69.66,73,0,8.05,clear sky
118,Khatanga,RU,71.9667,102.5,-2.38,100,91,2.55,overcast clouds
119,Taree,AU,-31.9,152.4667,75.11,73,7,2.3,clear sky
120,Ponta Delgada,PT,37.7333,-25.6667,63.32,82,20,4.61,few clouds
121,Balassagyarmat,HU,48.073,19.2961,54.43,78,99,8.68,light rain
122,Vostok,RU,46.4856,135.8833,28.83,85,95,4.07,light snow
123,Lompoc,US,34.6391,-120.4579,79.12,80,1,17.27,mist
124,Omsukchan,RU,62.5333,155.8,-1.66,84,27,1.57,scattered clouds
125,Lorengau,PG,-2.0226,147.2712,78.42,85,100,6.53,overcast clouds
126,East London,ZA,-33.0153,27.9116,68.23,87,100,1.41,overcast clouds
127,Ponta Do Sol,PT,32.6667,-17.1,70.43,63,15,5.86,few clouds
128,Saldanha,ZA,-33.0117,17.9442,59.05,83,100,18.03,overcast clouds
129,Deputatskiy,RU,69.3,139.9,-3.44,100,100,3.67,overcast clouds
130,Castro,BR,-24.7911,-50.0119,55.35,81,53,4.65,broken clouds
131,Atuona,PF,-9.8,-139.0333,77.83,78,10,17.34,light rain
132,Bredasdorp,ZA,-34.5322,20.0403,63.72,82,100,10.36,overcast clouds
133,Bengkulu,ID,-3.8004,102.2655,74.16,92,91,3.44,overcast clouds
134,Abu Dhabi,AE,24.4667,54.3667,86.11,54,0,8.05,clear sky
135,Kaitangata,NZ,-46.2817,169.8464,59.13,55,11,7.16,few clouds
136,Dikson,RU,73.5069,80.5464,23.09,72,100,10.42,overcast clouds
137,Pangody,RU,65.85,74.4859,27.72,80,99,5.3,overcast clouds
138,Svetlogorsk,BY,52.6333,29.7333,55.04,69,99,17.76,overcast clouds
139,Payo,ID,-3.7508,103.6372,73.56,95,99,0.98,overcast clouds
140,Melito Di Porto Salvo,IT,37.9222,15.7714,68.56,68,1,6.91,clear sky
141,Eidfjord,NO,60.4675,7.0719,41.43,97,100,9.82,overcast clouds
142,Talnakh,RU,69.4865,88.3972,24.98,97,100,3.15,light snow
143,Hasaki,JP,35.7333,140.8333,54.0,77,100,18.32,moderate rain
144,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,12.66,light rain
145,Biltine,TD,14.5333,20.9167,81.32,23,25,6.73,scattered clouds
146,Bonavista,CA,48.6499,-53.1147,47.12,78,97,23.85,overcast clouds
147,Palmer,US,42.1584,-72.3287,65.01,66,47,1.01,scattered clouds
148,Barrow,US,71.2906,-156.7887,28.42,86,90,4.61,overcast clouds
149,Vao,NC,-22.6667,167.4833,72.1,78,63,12.17,broken clouds
150,Leningradskiy,RU,69.3833,178.4167,9.82,88,80,14.18,broken clouds
151,Honiara,SB,-9.4333,159.95,85.05,70,96,3.91,light rain
152,Port Blair,IN,11.6667,92.75,75.24,100,75,2.3,fog
153,Clyde River,CA,70.4692,-68.5914,21.43,86,20,6.91,few clouds
154,Karratha,AU,-20.7377,116.8463,85.39,23,1,18.7,clear sky
155,Mount Isa,AU,-20.7333,139.5,87.57,37,0,10.36,clear sky
156,Boa Vista,BR,2.8197,-60.6733,82.38,74,40,10.36,scattered clouds
157,Cherskiy,RU,68.75,161.3,8.08,95,100,4.65,overcast clouds
158,Salalah,OM,17.0151,54.0924,75.29,78,20,3.44,few clouds
159,Loukhi,RU,66.0764,33.0381,29.98,91,100,10.18,overcast clouds
160,Sobolevo,RU,54.4299,31.8996,54.09,66,98,21.25,light rain
161,Christchurch,NZ,-43.5333,172.6333,61.32,52,9,5.99,clear sky
162,Aracati,BR,-4.5617,-37.7697,80.4,75,73,11.36,broken clouds
163,Kiama,AU,-34.6833,150.8667,73.0,83,39,3.83,scattered clouds
164,Gvardeyskoye,RU,43.6731,44.9589,38.48,55,1,3.49,clear sky
